"Date","Open","High","Low","Close"
"09 Feb 2023","24609.55","24634.75","24447.90","24556.35"
"08 Feb 2023","24438.25","24625.30","24358.75","24594.40"
"07 Feb 2023","24601.05","24625.05","24358.10","24421.35"
"06 Feb 2023","24553.65","24651.65","24478.40","24569.20"
"03 Feb 2023","24057.85","24600.50","24025.30","24519.30"
"02 Feb 2023","23944.80","24389.80","23937.30","24139.55"
"01 Feb 2023","24307.60","24509.45","23756.50","24071.75"
"31 Jan 2023","23881.30","24215.50","23746","24149.80"
"30 Jan 2023","23694.90","23863.65","23468.20","23836.25"
"27 Jan 2023","24217.30","24244.40","23483.65","23728.30"
"25 Jan 2023","24526.30","24539.85","24169","24243.50"
"24 Jan 2023","24489.70","24602","24439.45","24568.00"
"23 Jan 2023","24446.80","24493.90","24231.25","24431.20"
"20 Jan 2023","24646.20","24669.05","24249.85","24359.85"
"19 Jan 2023","24611.10","24700.40","24448","24614.60"
"18 Jan 2023","24711.55","24802.95","24606.60","24770.75"
"17 Jan 2023","24695.35","24738.80","24507.65","24654.90"
"16 Jan 2023","24890.05","24962.65","24635.45","24691.10"
"13 Jan 2023","25126.40","25134.20","24718.50","24821.10"
"12 Jan 2023","25208.55","25298.30","24989.20","25079.20"
"11 Jan 2023","25217.95","25301.05","25079.05","25134.80"
"10 Jan 2023","25376.90","25382.75","25041.55","25185.90"
"09 Jan 2023","25522.95","25527.75","25210.30","25333.40"
"06 Jan 2023","25404.70","25544.20","25227.40","25449.80"
"05 Jan 2023","25556.50","25646.15","25280.15","25431.05"
"04 Jan 2023","25585.85","25621.60","25367.35","25496.35"
"03 Jan 2023","25250.25","25581.40","25204.45","25551.05"
"02 Jan 2023","25368.60","25444.70","25187.20","25224.80"
"30 Dec 2022","25229.85","25420.50","25199.45","25296.70"
"29 Dec 2022","25089.55","25198.80","24975.60","25132.35"
"28 Dec 2022","24929.15","25299","24887.20","25232.60"
"27 Dec 2022","24855.95","24955.10","24803.10","24894.75"
"26 Dec 2022","24530.35","24819.70","24335.30","24698.50"
"23 Dec 2022","24884.05","24936.65","24473.20","24506.80"
"22 Dec 2022","25298","25391.95","24911.95","25061.15"
"21 Dec 2022","25649.50","25726","25198.50","25250.60"
"20 Dec 2022","25522.45","25579.50","25330.05","25558.55"
"19 Dec 2022","25504.05","25633.60","25337.65","25611.05"
"16 Dec 2022","25515.50","25599.10","25378.55","25459.50"
"15 Dec 2022","25945.80","25959.95","25587.35","25649.85"
"14 Dec 2022","25785.40","25977.85","25758.85","25956.60"
"13 Dec 2022","25898.80","25903.15","25669.85","25724.50"
"12 Dec 2022","26003.90","26005.85","25659.15","25776.30"
"09 Dec 2022","26159.50","26162.55","25867.90","26013.40"
"08 Dec 2022","26138.65","26189.90","25974.05","26025.90"
"07 Dec 2022","26413.10","26419.75","26058.05","26096.05"
"06 Dec 2022","26534.30","26545.30","26311","26376.85"
"05 Dec 2022","26645.90","26663.70","26355.35","26552.05"
"02 Dec 2022","26657","26666.15","26488.50","26554.45"
"01 Dec 2022","26614","26714.05","26517.45","26622.35"
"30 Nov 2022","26312.55","26610.55","26204.60","26512.50"
"29 Nov 2022","26276.25","26502.70","26250.75","26327.85"
"28 Nov 2022","26212.40","26406.40","26192.80","26248.70"
"25 Nov 2022","26157.90","26297.50","26025.05","26265.70"
"24 Nov 2022","26218.10","26218.35","26013.05","26099.35"
"23 Nov 2022","26203.75","26263.60","26026.30","26105.55"
"22 Nov 2022","26016.80","26138.65","25932.95","26121.25"
"21 Nov 2022","25837.70","26002.95","25802.20","25973.95"
"18 Nov 2022","26056.20","26069","25712.40","25921.80"
"17 Nov 2022","26331.40","26352.40","25982.30","26020.20"
"16 Nov 2022","26522","26593.20","26289.15","26377.70"
"15 Nov 2022","26508.90","26549.90","26374.15","26493.70"
"14 Nov 2022","26544.10","26575","26395.05","26431.45"
"11 Nov 2022","26531.95","26652.35","26376.30","26493.80"
"10 Nov 2022","26504.30","26536.25","26163.40","26320.05"
"09 Nov 2022","27062.10","27066.05","26570.85","26633.00"
"07 Nov 2022","26974.80","26991.70","26754.45","26860.95"
"04 Nov 2022","26992.65","27005.20","26736.65","26909.45"
"03 Nov 2022","26850","27097.35","26773.95","26927.20"
"02 Nov 2022","27057.10","27183.80","26889.20","27069.60"
"01 Nov 2022","27126.95","27188.35","27003.20","27116.75"
"31 Oct 2022","26734.05","27057.90","26685.65","27024.00"
"28 Oct 2022","26659.40","26693.75","26511.10","26628.75"
"27 Oct 2022","26628.25","26849.55","26536.80","26632.75"
"25 Oct 2022","26710.15","26721","26445.30","26506.90"
"24 Oct 2022","26774.45","26775.20","26609.25","26640.75"
"21 Oct 2022","26747.65","26868.95","26392.75","26501.95"
"20 Oct 2022","26696.35","26738.10","26351.80","26653.15"
"19 Oct 2022","26975.05","27080.80","26835","26864.45"
"18 Oct 2022","26780.10","26933.20","26743.20","26900.60"
"17 Oct 2022","26575.25","26692.30","26440.55","26653.55"
"14 Oct 2022","26852.95","26936.45","26583.05","26619.20"
"13 Oct 2022","26691.75","26743.75","26391.20","26533.65"
"12 Oct 2022","26786.75","26818.90","26418.20","26748.20"
"11 Oct 2022","27273.05","27291.25","26666.50","26719.30"
"10 Oct 2022","27290.20","27371.60","27047.15","27204.35"
"07 Oct 2022","27511.90","27779.95","27378.30","27538.65"
"06 Oct 2022","27231.60","27349.20","27117.55","27181.00"
"04 Oct 2022","27258.50","27259","27022.95","27061.95"
"03 Oct 2022","27249.25","27249.25","26678.35","26840.75"
"30 Sep 2022","26799.25","27258.80","26493.80","27181.90"
"29 Sep 2022","27036.60","27097.50","26583.35","26793.65"
"28 Sep 2022","26793.45","27166","26698.65","26851.65"
"27 Sep 2022","27152.20","27235.60","26754.45","26935.85"
"26 Sep 2022","27114.30","27200.90","26411","27009.35"
"23 Sep 2022","27762","27863.15","27254.15","27291.30"
"22 Sep 2022","27471.50","27817.55","27343.90","27745.35"
"21 Sep 2022","27688.40","27874.80","27498.75","27560.40"
"20 Sep 2022","27307.45","27842.30","27286.35","27651.25"
"19 Sep 2022","27243.70","27250","26720.95","27078.45"
"16 Sep 2022","27756.45","27867.20","26973.85","27168.05"
"15 Sep 2022","28093.60","28145.85","27740.35","27782.80"
"14 Sep 2022","27733.75","28044.35","27702.60","27937.95"
"13 Sep 2022","28019.70","28278.10","27965.95","28119.30"
"12 Sep 2022","27573.60","27894.20","27550.75","27849.05"
"09 Sep 2022","27742.25","27757.35","27385.70","27477.20"
"08 Sep 2022","27794","27854.70","27465.80","27538.05"
"07 Sep 2022","27382.70","27669.40","27343.55","27647.05"
"06 Sep 2022","27456.30","27550.35","27242.45","27518.95"
"05 Sep 2022","27390.20","27484.30","27261","27391.25"
"02 Sep 2022","27558.10","27561.30","27249.40","27298.15"
"01 Sep 2022","27362.45","27576.85","27200.55","27413.55"
"30 Aug 2022","27069.90","27518","27052.90","27473.65"
"29 Aug 2022","26288.65","26939.25","26288.65","26856.20"
"26 Aug 2022","26860.80","27090.20","26859.95","27012.25"
"25 Aug 2022","26582.50","26899.75","26541.70","26668.00"
"24 Aug 2022","26524.05","26610.40","26327.25","26464.55"
"23 Aug 2022","26033.20","26578.85","25979.60","26496.05"
"22 Aug 2022","26605.40","26611.80","26143.15","26187.30"
"19 Aug 2022","27115.40","27123.90","26572.70","26661.35"
"18 Aug 2022","26935.05","27068.80","26858.25","26956.25"
"17 Aug 2022","26650.30","26922.60","26619","26904.35"
"16 Aug 2022","26455.05","26673.10","26395.05","26601.85"
"12 Aug 2022","26354","26460.15","26299.90","26392.65"
"11 Aug 2022","26165.80","26388.70","26152.25","26290.50"
"10 Aug 2022","26273.85","26290.30","25963.85","26002.65"
"08 Aug 2022","26173.70","26249.20","26050.95","26173.95"
"05 Aug 2022","26280.20","26328.70","25921.45","26016.35"
