"Date","Open","High","Low","Close"
"09 Sep 2022","24632.65","24635.50","24478.65","24566.65"
"08 Sep 2022","24349.40","24468.95","24300.50","24453.30"
"07 Sep 2022","24031.55","24219.75","23957.25","24151.70"
"06 Sep 2022","24271.90","24378.60","24119.75","24223.70"
"05 Sep 2022","24106.40","24269.30","24096.15","24220.45"
"02 Sep 2022","24156.90","24224.20","23982.35","24102.10"
"01 Sep 2022","23963.30","24256.30","23929.15","24049.30"
"30 Aug 2022","23779.85","24377.55","23766.80","24345.35"
"29 Aug 2022","23442.95","23681.95","23367.45","23619.30"
"26 Aug 2022","24150.90","24262.80","24011.10","24072.40"
"25 Aug 2022","24248.65","24308.95","23961.95","24010.75"
"24 Aug 2022","23955.05","24168.15","23902.65","24146.25"
"23 Aug 2022","23805.15","24148.85","23778.60","24053.15"
"22 Aug 2022","24308.65","24323.85","23995.25","24028.95"
"19 Aug 2022","24681.75","24734.35","24374.20","24440.95"
"18 Aug 2022","24546.40","24675.90","24497.45","24652.95"
"17 Aug 2022","24454.70","24662.95","24384.80","24622.75"
"16 Aug 2022","24418.25","24466.35","24345.45","24419.35"
"12 Aug 2022","24236.25","24292.70","24153.30","24271.10"
"11 Aug 2022","24212.15","24266.30","24170.65","24243.10"
"10 Aug 2022","24038.00","24039.35","23829.50","23937.55"
"08 Aug 2022","23787.15","24007.75","23682.30","23979.90"
"05 Aug 2022","23810.75","23911.50","23754.20","23785.80"
"04 Aug 2022","23858.45","23917.45","23411.05","23738.60"
"03 Aug 2022","23637.50","23768.85","23511.60","23736.00"
"02 Aug 2022","23618.85","23708.30","23475.00","23653.35"
"01 Aug 2022","23568.35","23696.20","23391.30","23677.20"
"29 Jul 2022","23398.45","23476.45","23266.70","23452.05"
"28 Jul 2022","22859.20","23191.85","22829.45","23158.35"
"27 Jul 2022","22417.30","22663.60","22356.15","22648.55"
"26 Jul 2022","22666.30","22667.20","22392.30","22428.85"
"25 Jul 2022","22618.05","22777.30","22551.45","22661.60"
"22 Jul 2022","22612.80","22715.45","22495.10","22664.30"
"21 Jul 2022","22382.45","22570.60","22296.45","22537.50"
"20 Jul 2022","22408.05","22483.45","22318.15","22372.00"
"19 Jul 2022","21942.90","22197.45","21941.70","22176.40"
"18 Jul 2022","21810.40","22103.35","21793.80","22077.85"
"15 Jul 2022","21695.90","21764.05","21532.90","21673.75"
"14 Jul 2022","21733.65","21767.65","21447.85","21588.65"
"13 Jul 2022","21992.25","22001.30","21616.10","21647.05"
"12 Jul 2022","21966.40","22052.05","21832.25","21877.75"
"11 Jul 2022","21981.35","22115.60","21914.20","22070.30"
"08 Jul 2022","22162.30","22164.35","21999.80","22113.40"
"07 Jul 2022","21925.50","22001.80","21861.65","21972.45"
"06 Jul 2022","21495.80","21804.70","21485.55","21762.05"
"05 Jul 2022","21621.55","21777.15","21415.40","21458.45"
"04 Jul 2022","21383.30","21528.15","21293.80","21502.20"
"01 Jul 2022","21152.10","21453.55","21066.00","21384.65"
"30 Jun 2022","21178.20","21378.70","21173.55","21243.05"
"29 Jun 2022","21139.45","21327.30","21125.45","21207.65"
"28 Jun 2022","21294.05","21429.25","21168.20","21364.60"
"27 Jun 2022","21542.20","21577.45","21379.80","21407.95"
"24 Jun 2022","21203.25","21313.50","21127.05","21226.50"
"23 Jun 2022","20888.80","21136.45","20767.20","21049.00"
"22 Jun 2022","20983.30","21027.10","20804.55","20844.50"
"21 Jun 2022","20806.45","21200.25","20754.50","21099.55"
"20 Jun 2022","20545.50","20690.95","20368.85","20643.20"
"17 Jun 2022","20416.50","20595.90","20292.75","20481.45"
"16 Jun 2022","21245.30","21271.65","20526.25","20585.05"
"15 Jun 2022","21100.90","21173.45","21025.25","21046.80"
"14 Jun 2022","20925.20","21258.85","20917.20","21081.40"
"13 Jun 2022","21260.45","21277.40","20989.85","21087.20"
"10 Jun 2022","21918.95","21968.65","21703.25","21737.15"
"09 Jun 2022","21943.85","22234.85","21901.05","22207.05"
"08 Jun 2022","22197.80","22302.00","21971.50","22069.95"
"07 Jun 2022","22165.60","22192.35","22029.20","22095.80"
"06 Jun 2022","22234.45","22388.30","22093.75","22318.55"
"03 Jun 2022","22648.25","22687.50","22289.65","22320.45"
"02 Jun 2022","22292.15","22472.40","22209.15","22439.65"
"01 Jun 2022","22433.85","22519.65","22212.35","22354.55"
"31 May 2022","22522.75","22651.45","22362.30","22464.40"
"30 May 2022","22522.35","22750.55","22506.35","22667.35"
"27 May 2022","22122.50","22297.35","22097.75","22269.50"
"26 May 2022","21695.55","22003.20","21517.50","21925.10"
"25 May 2022","21728.05","21773.35","21503.85","21557.35"
"24 May 2022","21738.45","21839.95","21581.05","21649.85"
"23 May 2022","21815.10","22032.55","21682.10","21733.20"
"20 May 2022","21645.50","21803.65","21571.10","21761.55"
"19 May 2022","21555.75","21627.75","21225.30","21302.35"
"18 May 2022","22214.65","22374.45","21985.00","22009.20"
"17 May 2022","21751.80","22150.20","21664.45","22104.10"
"16 May 2022","21513.35","21764.25","21380.75","21641.95"
"13 May 2022","21921.25","21955.80","21394.15","21457.65"
"12 May 2022","22061.25","22097.05","21635.10","21704.15"
"11 May 2022","22389.10","22511.00","22016.55","22267.40"
"10 May 2022","22306.10","22509.00","22267.70","22308.40"
"09 May 2022","22181.60","22513.25","22065.60","22373.70"
"06 May 2022","22453.45","22538.30","22328.80","22434.75"
"05 May 2022","22964.75","23125.40","22797.15","22880.40"
"04 May 2022","23241.25","23297.80","22622.40","22703.85"
"02 May 2022","22974.00","23230.90","22950.70","23210.00"
"29 Apr 2022","23542.00","23630.70","23157.30","23236.95"
"28 Apr 2022","23344.90","23519.30","23150.65","23441.95"
"27 Apr 2022","23361.10","23361.10","23092.20","23184.65"
"26 Apr 2022","23490.60","23545.90","23382.90","23510.25"
"25 Apr 2022","23201.95","23313.90","23074.25","23225.30"
"22 Apr 2022","23483.40","23596.60","23373.40","23397.90"
"21 Apr 2022","23529.25","23742.45","23463.25","23706.55"
"20 Apr 2022","23394.65","23480.40","23252.65","23386.80"
"19 Apr 2022","23879.10","23881.40","23069.05","23250.80"
"18 Apr 2022","23821.75","23872.35","23564.00","23750.35"
"13 Apr 2022","24641.70","24690.55","24363.95","24389.50"
"12 Apr 2022","24532.80","24609.40","24366.00","24506.65"
"11 Apr 2022","24622.35","24687.70","24529.05","24602.95"
"08 Apr 2022","24668.10","24777.60","24458.50","24660.70"
"07 Apr 2022","24671.15","24825.00","24511.30","24536.80"
"06 Apr 2022","24945.70","24991.35","24721.70","24778.55"
"05 Apr 2022","25342.70","25354.90","25038.55","25098.30"
"04 Apr 2022","24880.20","25526.20","24838.80","25299.30"
"01 Apr 2022","24155.10","24617.60","24130.50","24566.35"
"31 Mar 2022","24236.15","24356.10","24156.00","24210.90"
"30 Mar 2022","24146.35","24243.10","24035.90","24200.95"
"29 Mar 2022","23811.65","23940.85","23715.95","23898.65"
"28 Mar 2022","23672.10","23727.45","23356.75","23703.25"
"25 Mar 2022","23863.30","23867.95","23508.80","23641.65"
"24 Mar 2022","23644.90","23911.40","23635.10","23741.40"
