Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,1000.482300,1000.482300,1000.482300,1000.482300,1000.482300,0
2020-01-01,1001.173706,1001.173706,1001.173706,1001.173706,1001.173706,0
2020-01-02,1001.186584,1001.186584,1001.186584,1001.186584,1001.186584,0
2020-01-03,1001.284180,1001.284180,1001.284180,1001.284180,1001.284180,0
2020-01-06,1001.233215,1001.233215,1001.233215,1001.233215,1001.233215,0
2020-01-07,1001.546509,1001.546509,1001.546509,1001.546509,1001.546509,0
2020-01-08,1001.652405,1001.652405,1001.652405,1001.652405,1001.652405,0
2020-01-09,1001.960388,1001.960388,1001.960388,1001.960388,1001.960388,0
2020-01-10,1001.156921,1001.156921,1001.156921,1001.156921,1001.156921,0
2020-01-13,1000.810791,1000.810791,1000.810791,1000.810791,1000.810791,0
2020-01-14,997.632813,997.632813,997.632813,997.632813,997.632813,0
2020-01-15,998.531189,998.531189,998.531189,998.531189,998.531189,0
2020-01-16,1000.951172,1000.951172,1000.951172,1000.951172,1000.951172,0
2020-01-17,1001.058105,1001.058105,1001.058105,1001.058105,1001.058105,0
2020-01-20,1001.422974,1001.422974,1001.422974,1001.422974,1001.422974,0
2020-01-21,1002.083923,1002.083923,1002.083923,1002.083923,1002.083923,0
2020-01-22,1003.708618,1003.708618,1003.708618,1003.708618,1003.708618,0
2020-01-23,1004.810425,1004.810425,1004.810425,1004.810425,1004.810425,0
2020-01-24,1004.258118,1004.258118,1004.258118,1004.258118,1004.258118,0
2020-01-27,1003.278992,1003.278992,1003.278992,1003.278992,1003.278992,0
2020-01-28,1002.515930,1002.515930,1002.515930,1002.515930,1002.515930,0
2020-01-29,1000.703308,1000.703308,1000.703308,1000.703308,1000.703308,0
2020-01-30,999.422607,999.422607,999.422607,999.422607,999.422607,0
2020-01-31,1000.751709,1000.751709,1000.751709,1000.751709,1000.751709,0
2020-02-03,1005.462708,1005.462708,1005.462708,1005.462708,1005.462708,0
2020-02-04,1006.888794,1006.888794,1006.888794,1006.888794,1006.888794,0
2020-02-05,1006.635071,1006.635071,1006.635071,1006.635071,1006.635071,0
2020-02-06,1012.367615,1012.367615,1012.367615,1012.367615,1012.367615,0
2020-02-07,1022.730408,1022.730408,1022.730408,1022.730408,1022.730408,0
2020-02-10,1023.427673,1023.427673,1023.427673,1023.427673,1023.427673,0
2020-02-11,1023.677612,1023.677612,1023.677612,1023.677612,1023.677612,0
2020-02-12,1022.849670,1022.849670,1022.849670,1022.849670,1022.849670,0
2020-02-13,1025.584229,1025.584229,1025.584229,1025.584229,1025.584229,0
